"stop_id","suspect_race_description","demeanor_of_person_stopped"
"2019-2584",BLACK,"NERVOUS , UPSET"
"2019-2585",BLACK,OKAY
"2019-2587",BLACK,INTOX
"2019-2588",BLACK,CALM
"2019-2589",BLACK,UNDERSTANDING
"2019-2590",BLACK HISPANIC,UPSET
"2019-2591",BLACK,CALM
"2019-2592",BLACK,CALM
"2019-2593",BLACK,SATISFIED
"2019-2594",WHITE,CALM
"2019-2595",BLACK,CALM
"2019-2596",BLACK,EXCITED
"2019-2597",BLACK,COMPLIANT
"2019-2598",BLACK,CALM
"2019-2599",BLACK,COMPLIANT
"2019-2600",BLACK,CALM
"2019-2601",BLACK,COMPLIANT
"2019-2602",BLACK,"INITIAL DEMEANOR WAS CORDIAL; AFTER SEARCHING THE VEHICLE, DEFENDANT FLED ON FOO"
"2019-2603",BLACK,UPSET
"2019-2604","",CALM
"2019-2605",WHITE HISPANIC,CALM
"2019-2606",BLACK,COMPLIANT
"2019-2607",BLACK,CONFRONTATIONAL
"2019-2608",BLACK,ANNOYED
"2019-2609",BLACK,NORMAL
"2019-2610",WHITE HISPANIC,COMPLIANT
"2019-2611",WHITE HISPANIC,CALM
"2019-2612",WHITE HISPANIC,IRATE
"2019-2615",WHITE HISPANIC,COMPLIANT
"2019-2616",WHITE,NERVOUS
"2019-2619",BLACK,ANGRY
"2019-2620",BLACK HISPANIC,COOPERATIVE
"2019-2621",BLACK,COMPLIANT
"2019-2622",BLACK,CALM
"2019-2623",BLACK,OUT OF BREATHE FROM RUNNING FROM THE POLICE
"2019-2624",BLACK,UNDERSTANDING
"2019-2625",BLACK,UNDERSTANDING
"2019-2626",BLACK,NORMAL
"2019-2628",WHITE HISPANIC,COMPLIANT
"2019-2629",WHITE HISPANIC,COMPLIANT
"2019-2630",WHITE HISPANIC,COMPLIANT
"2019-2631",BLACK,NORMAL
"2019-2632",WHITE HISPANIC,NERVOUS
"2019-2634",BLACK,UNDERSTANDING
"2019-2635",BLACK,UPSET
"2019-2636",BLACK,AGGITATED
"2019-2638",BLACK,RELIEVED
"2019-2639",BLACK,UPSET
"2019-2640",BLACK,AGGRESSIVE AND CONFRONTATIONAL
"2019-2641",BLACK,CALM
"2019-2642",BLACK HISPANIC,NON-COMPLIANT
"2019-2643",BLACK,PERSON WAS HIGHLY UNCOPERATIVE.
"2019-2644",BLACK,CALM
"2019-2645",BLACK,NERVOUS
"2019-2646",BLACK,COMPLIANT
"2019-2647",BLACK,ANNOYED
"2019-2648",BLACK,CALM
"2019-2649",WHITE HISPANIC,TENSE
"2019-2650",BLACK,COMPLIANT
"2019-2651",BLACK,COMPLIANT
"2019-2667",BLACK,WORRIED
"2019-2668",BLACK,CALM
"2019-2669",WHITE HISPANIC,COMPLIANT
"2019-2670",BLACK,NERVOUS
"2019-2671",BLACK,CALM
"2019-2672",BLACK,AGITATED
"2019-2673",BLACK,ANGRY
"2019-2674",WHITE HISPANIC,NORMAL
"2019-2675",BLACK HISPANIC,COMPLIANT
"2019-2676",BLACK,UPSET
"2019-2677",BLACK,UNDERSTANDING
"2019-2678",WHITE,REFUSED TO COMPLY AND REFUSED TO PLACE HANDS BEHIND BACK
"2019-2679",BLACK,CALM
"2019-2680",BLACK,CALM
"2019-2682",BLACK,UPSET
"2019-2683",BLACK,CALM
"2019-2684",WHITE HISPANIC,NERVOUS
"2019-2685",WHITE HISPANIC,CALM
"2019-2686",BLACK,AGGRESSIVE
"2019-2687",BLACK,CALM
"2019-2688",WHITE HISPANIC,CALM
"2019-2689",BLACK,CALM
"2019-2690",BLACK,CALM
"2019-2691",BLACK,UNCOP
"2019-2693",BLACK,CALM
"2019-2694",BLACK,NERVOUS
"2019-2695",BLACK,COMPLIANT
"2019-2696",BLACK,COOPERATIVE
"2019-2697",WHITE HISPANIC,COMPLIANT
"2019-2698",WHITE HISPANIC,CALM
"2019-2700",BLACK,CALM
"2019-2701",BLACK,CALM
"2019-2703",BLACK,NERVOUS
"2019-2704",WHITE,NERVOUS
"2019-2705",BLACK,ANGRY
"2019-2706",BLACK,UPSET
"2019-2707",BLACK,CALM
"2019-2708",WHITE HISPANIC,COMPLIANT
"2019-2709",BLACK,NORMAL
"2019-2710",BLACK,CALM
"2019-2713",BLACK HISPANIC,UNDERSTANDING
"2019-2714",WHITE HISPANIC,NERVOUS
"2019-2715",BLACK,CALM
"2019-2716",WHITE HISPANIC,SEVERELY ANGRY
"2019-2717",BLACK,ANGRY
"2019-2718",BLACK,FRUSTRATED
"2019-2721",WHITE,QUIET
"2019-2722",BLACK,NERVOUS
"2019-2723",ASIAN / PACIFIC ISLANDER,NORMAL
"2019-2724",BLACK HISPANIC,CALM
"2019-2725",BLACK,APPERANTLY NORMAL
"2019-2728",BLACK,NERVOUS
"2019-2729",BLACK,VERY UPSET
"2019-2730",BLACK,CALM
"2019-2731",BLACK,APOLOGETIC
"2019-2732",BLACK,CALM
"2019-2733",BLACK,CALM
"2019-2734",BLACK,CALM
"2019-2735",WHITE HISPANIC,CALM
"2019-2736",BLACK,UPSET
"2019-2737",BLACK,COMPLIANT
"2019-2738",BLACK,UPSET
"2019-2739",BLACK,CALM
"2019-2740",BLACK,ANGRY
"2019-2741",BLACK,ANGRY
"2019-2742",BLACK,UPSET
"2019-2743",BLACK,SURPRISED; COMPLIANT
"2019-2744",BLACK,SURPRISED; NERVOUS; COMPLIANT
"2019-2745",WHITE,COMPLIANT
"2019-2746",BLACK,RESISTING
"2019-2747",BLACK,NERVOUS; UPSET
"2019-2748",WHITE HISPANIC,SWEATING AND NERVOUS
"2019-2749",BLACK,CALM
"2019-2750",BLACK,NORMAL
"2019-2751",BLACK,CALM
"2019-2752",WHITE HISPANIC,CALM
"2019-2753",BLACK HISPANIC,ERRATIC
"2019-2754",BLACK HISPANIC,UPSET
"2019-2755",BLACK,FLUSTERED
"2019-2756",BLACK,CALM
"2019-2757",BLACK,UPSET
"2019-2759",BLACK,CALM
"2019-2760",WHITE,UPSET
"2019-2764",BLACK,CALM
"2019-2765",BLACK,AGRESSIVE
"2019-2766",BLACK,AGRESSIVE
"2019-2767",WHITE,NERVOUS
"2019-2768",WHITE HISPANIC,ANGRY
"2019-2769",WHITE HISPANIC,ANGRY
"2019-9733",BLACK,CALM
"2019-2774",BLACK,CALM
"2019-2775",BLACK,CALM
"2019-2776",BLACK HISPANIC,NORMAL
"2019-2777",BLACK,"TALKATIVE, UPSET"
"2019-2778",BLACK,AGITATED
"2019-2782",WHITE HISPANIC,CALMED
"2019-2783",BLACK,NERVOUS/LETHARGIC
"2019-2784",BLACK,CALM
"2019-2785",WHITE HISPANIC,"NERVOUS, SHAKING, SWEATING"
"2019-2786",BLACK,CALM
"2019-2787",BLACK,CALM
"2019-2788",BLACK,AGITATED
"2019-2789",BLACK,CALM
"2019-2790",BLACK,COMBATIVE
"2019-2791",BLACK,APPARENTLY NORMAL
"2019-2792",BLACK,"NERVOUS, SCARED"
"2019-2793",BLACK,CALM
"2019-2794",BLACK,APPARENTLY NORMAL
"2019-2795",BLACK,NERVOUS
"2019-2796",BLACK,CALM
"2019-2797",BLACK,"UPSET, CONFUSED"
"2019-2798",BLACK,COOPERATIVE
"2019-2799",BLACK,NERVOUS
"2019-2800",WHITE HISPANIC,CONFUSED ON WHAT WAS GOING ON.
"2019-2801",BLACK,INTOXICATED
"2019-2802",BLACK,PLEASANT DEMEANOR
"2019-2803",BLACK,CALM AND THANKFUL
"2019-2804",BLACK HISPANIC,UPSET
"2019-2805",BLACK,UPSET
"2019-2806",BLACK,NERVOUS.
"2019-2807",BLACK,NORMAL
"2019-2808",BLACK,SHOCKED
"2019-2809",BLACK,APPARENTLY NORMAL
"2019-2810",BLACK,ANGRY
"2019-2811",BLACK,NERVOUS
"2019-2812",BLACK,NERVOUS
"2019-2813",BLACK,CALM
"2019-2814",BLACK,NORMAL
"2019-2815",WHITE,CALM
"2019-2816",BLACK,"COMPLIANT, NERVOUS"
"2019-2818",BLACK,ANGRY
"2019-2819",BLACK,CALM
"2019-2820",BLACK,CALM
"2019-2821",BLACK,CALM AND COMPLIANT
"2019-2822",BLACK,HAPPY
"2019-2823",WHITE HISPANIC,CONFUSED
"2019-2824",BLACK,AGITATED
"2019-2826",BLACK,NERVOUS
"2019-2827",BLACK,CALM
"2019-2828",BLACK,NERVOUS
"2019-2829",BLACK,CALM AFTER STOP EXPLAINED TO SUBJECT
"2019-2830",BLACK,CALM
"2019-2831",BLACK,ANNOYED
"2019-2832",BLACK,"UPSET, ANGRY, EMOTIONAL"
"2019-2837",BLACK,COOPERATIVE
"2019-2838",BLACK,CALM
"2019-2839",BLACK,ANGRY
"2019-2840",BLACK,ANGRY
"2019-2841",BLACK,PLEASANT
"2019-2842",BLACK,CALM AND COOPERATIVE
"2019-2843",BLACK,CALM AND COOPERATIVE
"2019-2845",BLACK,ANGRY
"2019-2846",BLACK,CALM
"2019-2847",BLACK,NORMAIL
"2019-2848",WHITE HISPANIC,"CALM , PATIENT"
"2019-2849",BLACK,CALM
"2019-2850",BLACK,ANGRY
"2019-2851",BLACK,NORMAL
"2019-2852",BLACK,APPRICIATIVE
"2019-2853",BLACK,CALM
"2019-2854",BLACK,NERVOUS AND COMBATIVE
"2019-2856",BLACK,CALM
"2019-2857",BLACK,CALM
"2019-2858",BLACK,CALM
"2019-2859",BLACK,CALM
"2019-2860",BLACK,CALM
"2019-2861",BLACK,CALM
"2019-2862",WHITE,CALM
"2019-2863",BLACK,AMICABLE
"2019-2864",BLACK,AMICABLE
"2019-2865",BLACK,"ANGRY, ADJITATED"
"2019-2866",BLACK,ANNOYED
"2019-2867",BLACK,NERVOUS
"2019-2868",BLACK,COOPERATIVE
"2019-2869",BLACK,NERVOUS
"2019-2870",BLACK,NERVOUS
"2019-2871",BLACK,IRRITATED
"2019-2872",BLACK,CALM AND COMPLIANT
"2019-2873",BLACK,GOOD
"2019-2874",WHITE HISPANIC,CONFUSED
"2019-2875",ASIAN / PACIFIC ISLANDER,BELLIGERENT
"2019-2876",WHITE HISPANIC,CALM
"2019-2877",BLACK,CALM
"2019-2878",WHITE,CALM
"2019-2879",BLACK,CALM
"2019-2880",BLACK,EMOTIONALLY DISTURBED
"2019-2881",BLACK,NORMAL
"2019-2882",WHITE HISPANIC,IRATE
"2019-2883",BLACK,NERVOUS
"2019-2885",BLACK,CONFUSED
"2019-2886",BLACK,IRATE
"2019-2887",BLACK,APOLOGETIC
"2019-2888",BLACK HISPANIC,RESISTING
"2019-2889",WHITE,COOPERATIVE AND UNDERSTANDING
"2019-2890",BLACK,SHOCK
"2019-2891",BLACK,PERSON WAS IRRATE / ANGRY
"2019-2892",BLACK,APPARANTLY NORMAL
"2019-2893",BLACK,SUBJ APPEARED TO BE CRYING
"2019-2894",BLACK,COOPERATIVE
"2019-2895",BLACK,CALM
"2019-2896",BLACK,NERVOUS
"2019-2897",BLACK,UNDERSTANDING
"2019-2898",BLACK,CALM
"2019-2899",BLACK,CALM
"2019-2900",BLACK,ANGRY
"2019-2901",BLACK,AGGRAVATED
"2019-2902",WHITE,CALM
"2019-2903",BLACK,CALM
"2019-2904",BLACK,AGITATED/ NERVOUS
"2019-2905",BLACK,AGITATED
"2019-2906",BLACK,UPSET
"2019-2907",BLACK,ARGUMENTATIVE
"2019-2908",BLACK,NORMAL
"2019-2909",BLACK,"HOSTILE, DEFENSIVE"
"2019-2910",BLACK,INTOXICATED
"2019-2911",BLACK,CALM
"2019-2912",BLACK,CALM AND UNDERSTANDING
"2019-2913",BLACK HISPANIC,NORMAL
"2019-2914",BLACK,CALM
"2019-2916",BLACK,UPSET
"2019-2917",BLACK HISPANIC,ANGRY
"2019-2918",BLACK,COMPLIANT
"2019-2919",BLACK,NERVOUS
"2019-2920",BLACK,CALM AND COOPERATIVE
"2019-2921",BLACK,IRRATE/ CONFUSED
"2019-2922",BLACK,APPARENTLY NORMAL
"2019-2923",BLACK,CALM
"2019-2924",BLACK,SCARED
"2019-2926",BLACK,UPSET
"2019-2927",BLACK,AGITATED
"2019-2929",BLACK,CALM
"2019-2930",BLACK,CALM
"2019-2931",BLACK,CALM
"2019-2932",WHITE HISPANIC,AGITATED
"2019-2933",BLACK,CONFUSED
"2019-2936",BLACK HISPANIC,UPSET
"2019-2937",BLACK,COMPLYING
"2019-2938",BLACK,COMPLYING
"2019-2939",BLACK,COMPLYING
"2019-2940",BLACK HISPANIC,COMPLIANT
"2019-2941",BLACK HISPANIC,CALM
"2019-2942",WHITE,NERVOUS/ COMPLIANT
"2019-2943",BLACK,CALM
"2019-2944",BLACK,CALM
"2019-2945",BLACK,CONCERNED AND SWEATY
"2019-2946",BLACK,CALM
"2019-2947",BLACK,CALM
"2019-2948",BLACK,CALM
"2019-2949",BLACK,CALM
"2019-2950",BLACK,UPSET
"2019-2951",BLACK,UPSET
"2019-2952",BLACK,UPSET
"2019-2956",WHITE HISPANIC,SURPRISED
"2019-2957",BLACK,CALM
"2019-2958",BLACK,CALM
"2019-2960",WHITE HISPANIC,COOPERATIVE
"2019-2961",BLACK,CALM
"2019-2962",BLACK,COOPERATIVE AND CALM
"2019-2963",WHITE HISPANIC,COOPERATIVE
"2019-2964",BLACK,PERSON WAS IRATE AND UNCOOPERATIVE
"2019-2965",BLACK,COOPETATIVE
"2019-2966",BLACK,COMPLIANT
"2019-2967",WHITE HISPANIC,GOOD
"2019-2968",BLACK,"CALM, UNDERSTANDING"
"2019-2969",BLACK HISPANIC,INDIVIDUAL WAS BEING STOPPED EXTREMLY IRRATE.
"2019-2970",ASIAN / PACIFIC ISLANDER,NORMAL
"2019-2971",WHITE HISPANIC,NORMAL
"2019-2972",BLACK,CALM
"2019-2973",BLACK HISPANIC,COMBATIVE ANNOYED
"2019-2974",BLACK,ANGRY
"2019-2976",BLACK,COMBATIVE
"2019-2977",BLACK,ANXIOUS
"2019-2978",BLACK,UPSET
"2019-2979",BLACK,MOVING AROUND WITH STORE ITEMS CONCEALED
"2019-2980",BLACK,UPSET
"2019-2981",BLACK,NORMAL / MOVING AROUND
"2019-2982",BLACK,CALM
"2019-2983",BLACK,ANGRY
"2019-2984",BLACK,UPSET
"2019-2985",WHITE HISPANIC,EXCITED
"2019-2986",BLACK,UPSET
"2019-2987",BLACK,CALM
"2019-2988",BLACK,CALM
"2019-2989",BLACK,NERVOUS
"2019-2990",BLACK,COMPLIANCE
"2019-2991",WHITE HISPANIC,NORMAL
"2019-2992",WHITE HISPANIC,NORMAL
"2019-2993",BLACK,COMPLIANCE
"2019-2994",BLACK,ANNOYED/ BOTHERED. CURSING
"2019-2995",BLACK HISPANIC,"CALM, HAPPY TO LEAVE"
"2019-2996",BLACK,IRATE
"2019-2997",BLACK,ANGRY
"2019-2998",BLACK,COMPLIANT
"2019-2999",BLACK,COMPLIANT
"2019-3000",BLACK,CALM
"2019-3001",BLACK,CALM
"2019-3002",WHITE HISPANIC,COMPLIANT
"2019-3003",WHITE HISPANIC,CALM
"2019-3004",BLACK,CALM
"2019-3005",BLACK,ANGRY
"2019-3006",BLACK HISPANIC,CALM
"2019-3007",BLACK,CALM
"2019-3009",WHITE,AGITATED/DISCOURTEOUS
"2019-3010",WHITE HISPANIC,CALM AND COOPERATIVE
"2019-3011",BLACK HISPANIC,NORMAL
"2019-3012",WHITE HISPANIC,NERVOUS
"2019-3013",BLACK HISPANIC,UNCOOPERATIVE
"2019-3014",WHITE HISPANIC,CALM
"2019-3015",BLACK,AGITATED AND OUT OF BREATH DUE TO RUNNING
"2019-3016",BLACK,NERVOUS / ANXIOUS
"2019-3017",WHITE HISPANIC,NERVOUS
"2019-3018",BLACK,ANGRY
"2019-3019",WHITE HISPANIC,AGGRESSIVE
"2019-3020",BLACK,COMPLIANT
"2019-3021",WHITE HISPANIC,ANGRY
"2019-3022",WHITE HISPANIC,ANGRY
"2019-3023",WHITE HISPANIC,DISRESPECTFUL
"2019-3024",BLACK HISPANIC,UPSET
"2019-3025",BLACK,CALM/COOPERATIVE
"2019-3026",BLACK HISPANIC,UPSET
"2019-3027",WHITE HISPANIC,CALM
"2019-3028",BLACK,NERVOUS
"2019-3029",BLACK,NERVOUS
"2019-3030",WHITE HISPANIC,CALM AND COMPLIANT
"2019-3031",BLACK,ANGRY
"2019-3032",WHITE HISPANIC,AGITATED/EXCITED/IRATE
"2019-3033",BLACK,UNCOOPERATIVE AND NERVOUS
"2019-3034",BLACK,COOPERATIVE
"2019-3035",BLACK,?NCOOPERATIVE
"2019-3036",BLACK HISPANIC,NO DEMEANOR
"2019-3037",BLACK,CALM
"2019-3038",BLACK,UPSET
"2019-3039",BLACK,AGITATED
"2019-3040",BLACK,ANGRY
"2019-3041",BLACK,CONFUSED
"2019-3042",BLACK,CALM
"2019-3043",BLACK,CALM
"2019-3044",BLACK,"ANNOYED, CALM"
"2019-3045",BLACK,"SURPRISED, CALM"
"2019-3046",WHITE,COMPLIANT
"2019-3047",WHITE HISPANIC,TIRED
"2019-3048",BLACK,ANGRY
"2019-3049",BLACK,UPSET
"2019-3050","",NORMAL
"2019-3051",BLACK,UPSET
"2019-3054",BLACK,ANGRY
"2019-3055",BLACK,ANGRY
"2019-3056",BLACK,UPSET
"2019-3057",BLACK,ANNOYED
"2019-3058",BLACK,ANNOYED
"2019-3059","",ANNOYED
"2019-3060",BLACK,ANGRY
"2019-3061",BLACK,IRATE
"2019-3062",BLACK,UPSET
"2019-3063",BLACK HISPANIC,UNCOOPERATIVE
"2019-3064",BLACK,SUBJECT WAS CALM AND RESPONDING TO COMMANDS
"2019-3065",BLACK HISPANIC,COOPERATIVE
"2019-3066",BLACK HISPANIC,COOPERATIVE
"2019-3067",BLACK HISPANIC,COOPERATIVE
"2019-3068","",INTOXACATED
"2019-3069",BLACK,COMPLIANT
"2019-3071",BLACK,CALM
"2019-3072",BLACK,CALM
"2019-3073",BLACK,INTOXACATED AND ANNOYED
"2019-3074",BLACK,COMBATIVE
"2019-3075",BLACK,CALM
"2019-3076",BLACK,"NON COMBATIVE, UNDERSTANDING"
"2019-3077",BLACK,UPSET
"2019-3078",BLACK,CALM
"2019-3079",BLACK,CALM
"2019-3080",BLACK,CALM
"2019-3081",BLACK,TIRED OF RUNNING
"2019-3082",BLACK HISPANIC,INTOX
"2019-3083",WHITE HISPANIC,"CALM, A LITTLE NERVOUS"
"2019-3084",WHITE HISPANIC,SURPRISED
"2019-3085",WHITE HISPANIC,"NERVOUS, EVASIVE,MISLEADING"
"2019-3086",WHITE HISPANIC,NERVOUS
"2019-3087",BLACK,CALM
"2019-3089",BLACK,CALM
"2019-3090",BLACK,COOPERATIVE
"2019-3091",BLACK,CALM
"2019-3092",WHITE HISPANIC,UPSET
"2019-3093",WHITE HISPANIC,ANGRY
"2019-3094",BLACK,ANIMATED/YELLING
"2019-3095",BLACK,ANGRY/ANNOYED
"2019-3096",BLACK,ANGRY/ANNOYED
"2019-3097",BLACK,ANGRY
"2019-3098",BLACK,WORRIED
"2019-3099",BLACK,CALM
"2019-3100",BLACK,CALM
"2019-3102",BLACK,UPSET
"2019-3103",BLACK,EXTREMELY NERVOUS
"2019-3104",BLACK,EXTREMELY NERVOUS
"2019-3105",BLACK HISPANIC,NERVOUS
"2019-3106",BLACK,CALM
"2019-3107",BLACK,COMPLIANT
"2019-3108",BLACK,NERVOUS
"2019-3109",BLACK,NERVOUS
"2019-3110",BLACK,NERVOUS
"2019-3111",BLACK,CALM
"2019-3112",BLACK,CALM
"2019-3113",BLACK,CALM
"2019-3114",BLACK,UNKNOWN
"2019-3115",BLACK,UNDERSTANDING
"2019-3116",BLACK,UNDERSTANDING
"2019-3117",BLACK,UNDERSTANDING
"2019-3118",BLACK,UNDERSTANDING
"2019-3119",BLACK,ANGRY
"2019-3120",BLACK,COMBATIVE
"2019-3121",BLACK,APPRENTLY NORMAL
"2019-3123",BLACK,NO ISSUES
"2019-3124",BLACK,NO ISSUES
"2019-3125",BLACK,NO ISSUES
"2019-3126",BLACK,NO ISSUE
"2019-3127",WHITE HISPANIC,WORRIED
"2019-3128",WHITE,NORMAL
"2019-3130",BLACK,INTOXICATED
"2019-3131",BLACK,COOPERATIVE
"2019-3132",BLACK,AGGRESSIVE
"2019-3133",WHITE HISPANIC,NERVOUS
"2019-3134",BLACK HISPANIC,NERVOUS
"2019-3135",BLACK,CALM
"2019-3136",BLACK HISPANIC,"IRATE, AGGRESIVE"
"2019-3137",BLACK,CALM
"2019-3138",BLACK,CALM
"2019-3139",BLACK,CALM
"2019-3140","",UPSET
"2019-3141",BLACK,CALM
"2019-3142",BLACK,CALM
"2019-3143",WHITE HISPANIC,ANNOYED
"2019-3144",BLACK HISPANIC,"ANGRY, STRESS"
"2019-3145",BLACK,CALM
"2019-3146",BLACK,COOPERATIVE
"2019-3147",BLACK,CALM
"2019-3148",BLACK,EVASIVE
"2019-3149",BLACK,ANGRY
"2019-3150",WHITE HISPANIC,"SHOCKED, NERVOUS"
"2019-3151",WHITE HISPANIC,"CALM, LITTLE NERVOUS"
"2019-3152",BLACK,CALM
"2019-3153",BLACK,NERVOUS
"2019-3154",BLACK,CALM
"2019-3155",BLACK,UPSET
"2019-3156",BLACK,CALM
"2019-3157",WHITE,NERVOUS
"2019-3158",WHITE HISPANIC,NERVOUS
"2019-3159",BLACK,UPSET
"2019-3160",BLACK,NERVOUS
"2019-3161",BLACK,CALM
"2019-3162",BLACK,CALM
"2019-3163",BLACK,UPSET.
"2019-3164",BLACK,CALM
"2019-3165",BLACK,OUT OF BREATH/ NERVOUS
"2019-3166",BLACK,SCARED
"2019-3167",BLACK,UNEASE
"2019-3168",BLACK,EVASIVE
"2019-3169",BLACK,"PLEASANT, APPRECIATIVE, UNDERSTANDING"
"2019-3170",BLACK,ANGRY
"2019-3171",BLACK,"LOUD,AGGRESSIVE, THREATENING"
"2019-3173",BLACK,CALM
"2019-3174",BLACK,"CALM, CORGIAL"
"2019-3175",BLACK,"CALM, FRIENDLY"
"2019-3176",BLACK,CALM
"2019-3177",BLACK,COOPERATIVE
"2019-3178",BLACK,COOPERATIVE
"2019-3179",BLACK,CALM
"2019-3180",BLACK,CALM
"2019-3181",BLACK,UNDERSTANDING
"2019-3182",BLACK,UNDERSTANDING
"2019-3183",BLACK,AGGRESSIVE
"2019-3184",BLACK HISPANIC,UNDERSTANDING
"2019-3185",BLACK,CALM
"2019-3186",BLACK,CALM
"2019-3187",BLACK,SURPRISED
"2019-3188",BLACK,SURPRISED
"2019-3189",BLACK,UNDERSTANDING AND COOPERATIVE
"2019-3190",BLACK,UPSET
"2019-3191",BLACK,NERVOUS
"2019-3192",BLACK,CALM
"2019-3193",BLACK,COMPLIANT
"2019-3194",BLACK,NERVOUS
"2019-3195",BLACK,HIGHLY RESISTANT THREATENING BEHAVIOR
"2019-3196",BLACK,COMPLIANT
"2019-3197",BLACK,UNDERSTANDING
"2019-3199",BLACK,NORMAL/UPSET
"2019-3200",BLACK,CALM
"2019-3201",BLACK,NERVOUS
"2019-3202",BLACK,CALM
"2019-3203",BLACK,NA
"2019-3204",BLACK,WORRIED
"2019-3205",BLACK,"ANGRY, UNCOOPERATIVE"
"2019-3206",BLACK,ANGRY AND UNCOOPERATIVE
"2019-3207",BLACK,COOPERATIVE AND CALM
"2019-3208",BLACK,INTOX BUT COOPERATIVE
"2019-3209",BLACK,CALM
"2019-3210",WHITE HISPANIC,CALM
"2019-3283",BLACK,COMPLIANT
"2019-3211",BLACK,CALM
"2019-3212",WHITE HISPANIC,CALM
"2019-3213",WHITE HISPANIC,CALM
"2019-3214",BLACK,CALM
"2019-3215",WHITE HISPANIC,CALM
"2019-3216",WHITE HISPANIC,CALM
"2019-3217",BLACK,NERVOUS
"2019-3218",BLACK HISPANIC,CALM
"2019-3219",BLACK,CALM
"2019-3220",BLACK,CALM
"2019-3221",BLACK HISPANIC,CALM
"2019-3222",BLACK HISPANIC,ANGRY
"2019-3223",BLACK,UNKNOWN
"2019-3224",BLACK,UNKNOWN
"2019-3225",BLACK,UNKNOWN
"2019-3226",BLACK,UNKNOWN
"2019-3227",BLACK,UNKNOWN
"2019-3228",BLACK,NORMAL
"2019-3229",BLACK,AGITATED
"2019-3230",BLACK,CALM
"2019-3231",BLACK,UNDERSTANDING
"2019-3233",BLACK,UNDERSTANDING
"2019-3234",WHITE HISPANIC,NERVOUS
"2019-3235",BLACK,NERVOUS
"2019-3236",BLACK,NERVOUS
"2019-3237",BLACK HISPANIC,NERVOUS
"2019-3238",BLACK,CALM
"2019-3239",BLACK,AGITATED
"2019-3240",WHITE,CALM
"2019-3241",BLACK,CALM
"2019-3242",WHITE HISPANIC,CALM
"2019-3243",BLACK HISPANIC,NORMAL
"2019-3244",BLACK,NERVOUS
"2019-3245",BLACK,CALM
"2019-3246",WHITE HISPANIC,UNCOOPERATIVE/ANGRY
"2019-3247",BLACK,UNDERSTANDING
"2019-3248",BLACK,UNDERSTANDING
"2019-3249",WHITE HISPANIC,CALM
"2019-3250",BLACK,UNHAPPY
"2019-3251",BLACK,NERVOUS
"2019-3254",BLACK,AGITATED
"2019-3255",BLACK,NERVOUS
"2019-3256",BLACK,CALM
"2019-3257",BLACK,ARGUMENTATIVE
"2019-3258",BLACK,"UNDERSTANDING/CALM, HE KNEW HE HAD DISPUTE WITH STORE EMPLOYEE"
"2019-3260",BLACK,AGITATED/
"2019-3261",BLACK,CALM
"2019-3262",BLACK HISPANIC,NERVOUS
"2019-3263",BLACK,NERVOUS
"2019-3264",BLACK,CALM
"2019-3265",BLACK,CALM
"2019-3266",BLACK,CALM
"2019-3267",BLACK,APOLOGETIC
"2019-3268",BLACK,CALM
"2019-3269",BLACK,ANGRY
"2019-3270",BLACK,APOLOGETIC
"2019-3271",BLACK,NERVOUS
"2019-3272",BLACK,CALM
"2019-3273",BLACK,CALM
"2019-3274",BLACK,COOPERATIVE
"2019-3276",BLACK HISPANIC,NERVOUS
"2019-3277",WHITE HISPANIC,NERVOUS
"2019-3278",BLACK,CALM
"2019-3279",BLACK,COMPLIANT
"2019-3280",BLACK,CALM
"2019-3281",BLACK,VERY ANGRY AND NERVOUS
"2019-3282",BLACK,CALM
"2019-3284",BLACK,NERVOUS
"2019-3286",BLACK,NERVOUS
"2019-3287",BLACK,UPSET
"2019-3288",BLACK,UPSET
"2019-3289",BLACK HISPANIC,CALM
"2019-3290",BLACK,CONFUSED
"2019-3291",BLACK,CONFUSED
"2019-3292",BLACK,IN A RUSH
"2019-3293",BLACK,CALM
"2019-3294",BLACK,SCARED
"2019-3295",BLACK,ANGRY
"2019-3296",WHITE,SCARED
"2019-3297",WHITE HISPANIC,NERVOUS
"2019-3298",BLACK,UPSET
"2019-3299",BLACK,COMBATIVE
"2019-3300",BLACK,ANNOYED
"2019-3301",BLACK,UPSET
"2019-3302",WHITE HISPANIC,ANGRY
"2019-3303",BLACK,UPSET
"2019-3304",BLACK,UPSET
"2019-3305",BLACK,CALM
"2019-3306",BLACK,APPARENTLY NORMAL
"2019-3307",WHITE HISPANIC,CALM
"2019-3308",BLACK,UNDERSTANDING
"2019-3309",BLACK,UNDERSTANDING
"2019-3310",BLACK,NERVOUS
"2019-3311",BLACK,UPSET
"2019-3312",BLACK,NERVOUS
"2019-3313",BLACK,CALM
"2019-3314",BLACK,NERVOUS
"2019-3315",BLACK,CALM
"2019-3316",WHITE HISPANIC,NERVOUS
"2019-3317",BLACK,NERVOUS
"2019-3318",BLACK,ANGRY
"2019-3319",BLACK,CALM
"2019-3320",BLACK,NERVOUS
"2019-3321",BLACK,CALM
"2019-3322",BLACK,"UNCOOPERATIVE, AGGRESSIVE , EVASIVE"
"2019-3323",BLACK,CALM
"2019-3324",WHITE HISPANIC,CONFUSED
"2019-3325",WHITE HISPANIC,UPSET/CRYING
"2019-3326",BLACK,UNDERSTANDING
